Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
BE,2011,2011,2011,1,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,90896758,,,0
BE,2011,2011,2011,1,0,4,Re-Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,2840,,,0
BE,2011,2011,2011,1,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,212780564,,,0
BE,2011,2011,2011,1,0,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,71983176,,,0
BE,2011,2011,2011,1,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,0,,,,0,,1709260127,,,4
BE,2011,2011,2011,1,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,0,,,,0,,50280521,,,4
BE,2011,2011,2011,1,0,3,Re-Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,0,,,,0,,42215800,,,0
BE,2011,2011,2011,1,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1234173082,,,0
BE,2011,2011,2011,1,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,420182932,,,0
BE,2011,2011,2011,1,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1587451159,,,0
BE,2011,2011,2011,1,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,93029296,,,0
BE,2011,2011,2011,1,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,57379575965,,,0
BE,2011,2011,2011,1,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,17404472121,,,0
BE,2011,2011,2011,1,0,4,Re-Import,76,Brazil,BRA,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,227372221,,,0
BE,2011,2011,2011,1,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,67572786,,,0
BE,2011,2011,2011,1,0,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,4668172,,,0
BE,2011,2011,2011,1,0,3,Re-Export,84,Belize,BLZ,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,4380066,,,0
BE,2011,2011,2011,1,0,1,Import,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,0,,,,,,80424583,,,4
BE,2011,2011,2011,1,0,2,Export,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,0,,,,0,,1820191,,,4
BE,2011,2011,2011,1,0,3,Re-Export,90,Solomon Isds,SLB,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,0,,,,0,,444958,,,0
BE,2011,2011,2011,1,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,0,,,,,,553205448,,,4
BE,2011,2011,2011,1,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,0,,,,0,,184079748,,,4
BE,2011,2011,2011,1,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,4868469654,,,0
BE,2011,2011,2011,1,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,3372686430,,,0
BE,2011,2011,2011,1,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,1625665018,,,0
BE,2011,2011,2011,1,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,3136973,,,0
BE,2011,2011,2011,1,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,119719774,,,0
BE,2011,2011,2011,1,0,2,Export,108,Burundi,BDI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,11083581,,,0
BE,2011,2011,2011,1,0,3,Re-Export,108,Burundi,BDI,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,5564540,,,0
BE,2011,2011,2011,1,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,4,"Capital goods (except transport equipment), and parts and accessories thereof",1,No Quantity,,,,,,,5707314800,,,0
